Test1: Tree creation (10.1.1.100,224.12.12.12)
hpim.Interface                                     DEBUG    2020-06-16 11:52:45,727                                     2  eth2  R7 Received Hello message with HelloHoldTime: 120; CheckpointSN: 0 from neighbor 10.9.9.2
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:45,728                                     2  eth2  R7 Neighbor state of 10.9.9.2 transitions to Unknown
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:45,728                                     2  eth2  R7 Neighbor state of 10.9.9.2 transitions to Slave with MyBootTime=1592308365; MySnapshotSN=0; NeighborBootTime=1592308365; NeighborSnapshotSN=0
hpim.Interface                                     DEBUG    2020-06-16 11:52:45,729                                     2  eth2  R2 Received Sync message with BootTime: 1592308365; NeighborBootTime: 1592308365; MySnapshotSN: 1; NeighborSnapshotSN: 0; SyncSN: 0; Master flag: 1; More flag: 0 from neighbor 10.9.9.7
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:45,734                                     2  eth2  R2 Neighbor state of 10.9.9.7 transitions to Unknown
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:45,734                                     2  eth2  R2 Neighbor state of 10.9.9.7 transitions to Master with MyBootTime=1592308365; MySnapshotSN=0; NeighborBootTime=1592308365; NeighborSnapshotSN=0
hpim.Interface                                     DEBUG    2020-06-16 11:52:45,738                                     2  eth2  R7 Received Sync message with BootTime: 1592308365; NeighborBootTime: 1592308365; MySnapshotSN: 1; NeighborSnapshotSN: 1; SyncSN: 0; Master flag: 0; More flag: 0 from neighbor 10.9.9.2
hpim.Interface                                     DEBUG    2020-06-16 11:52:45,742                                     2  eth2  R2 Received Sync message with BootTime: 1592308365; NeighborBootTime: 1592308365; MySnapshotSN: 1; NeighborSnapshotSN: 1; SyncSN: 1; Master flag: 1; More flag: 0 from neighbor 10.9.9.7
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:45,745                                     2  eth2  R2 Neighbor state of 10.9.9.7 transitions to Synced with MyBootTime=1592308365; MySnapshotSN=1; NeighborBootTime=1592308365; NeighborSnapshotSN=1
hpim.Interface                                     DEBUG    2020-06-16 11:52:45,746                                     2  eth2  R7 Received Sync message with BootTime: 1592308365; NeighborBootTime: 1592308365; MySnapshotSN: 1; NeighborSnapshotSN: 1; SyncSN: 1; Master flag: 0; More flag: 0 from neighbor 10.9.9.2
