Test1: Formation of (S,G) Broadcast Tree
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,023                                       1  eth1  R2 Received Sync message with BootTime: 1592337594; NeighborBootTime: 1592337594; MySnapshotSN: 4; NeighborSnapshotSN: 1; SyncSN: 1; Master flag: 0; More flag: 0 from neighbor 10.5.5.3
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,072                                       0  eth0  R3 Received Hello message with HelloHoldTime: 40; CheckpointSN: 0 from neighbor 10.3.3.1
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,073                                       2  eth2  R1 Received Sync message with BootTime: 1592337593; NeighborBootTime: 1592337595; MySnapshotSN: 1; NeighborSnapshotSN: 0; SyncSN: 0; Master flag: 1; More flag: 0 from neighbor 10.3.3.3
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,086                                       0  eth0  R3 Received Sync message with BootTime: 1592337595; NeighborBootTime: 1592337593; MySnapshotSN: 1; NeighborSnapshotSN: 1; SyncSN: 0; Master flag: 0; More flag: 0 from neighbor 10.3.3.1
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,087                                       2  eth2  R1 Received Sync message with BootTime: 1592337593; NeighborBootTime: 1592337595; MySnapshotSN: 1; NeighborSnapshotSN: 1; SyncSN: 1; Master flag: 1; More flag: 0 from neighbor 10.3.3.3
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,087                                       0  eth0  R3 Received Sync message with BootTime: 1592337595; NeighborBootTime: 1592337593; MySnapshotSN: 1; NeighborSnapshotSN: 1; SyncSN: 1; Master flag: 0; More flag: 0 from neighbor 10.3.3.1
tests                                              DEBUG    2020-06-16 19:59:56,202                                                R1 python3 Run.py -aiigmp eth3
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,262                                       2  eth2  R7 Received Hello message with HelloHoldTime: 40; CheckpointSN: 0 from neighbor 10.9.9.2
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,264                                       2  eth2  R2 Received Sync message with BootTime: 1592337595; NeighborBootTime: 1592337595; MySnapshotSN: 1; NeighborSnapshotSN: 0; SyncSN: 0; Master flag: 1; More flag: 0 from neighbor 10.9.9.7
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,265                                       2  eth2  R7 Received Sync message with BootTime: 1592337595; NeighborBootTime: 1592337595; MySnapshotSN: 1; NeighborSnapshotSN: 1; SyncSN: 0; Master flag: 0; More flag: 0 from neighbor 10.9.9.2
